time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,horizontalError,depthError,magError,magNst
2023-01-01T10:09:37.830Z,18.206,-67.117,21.88,2.95,md,26.0,97.0,0.005188,0.13,pr,pr71390183,2023-01-01T11:14:15.230Z,"2 km ENE of Mayagüez, Puerto Rico",0.27,0.4,0.185128106552634,10.0
2023-01-01T10:35:06.137Z,18.632,120.964,46.019,4.4,mb,36.0,125.0,4.166,0.49,us,us7000j1eg,2023-03-11T22:51:29.040Z,"12 km WNW of Claveria, Philippines",5.16,8.249,0.12,20.0
2023-01-01T10:44:46.322Z,10.069,126.557,33.676,4.3,mb,21.0,176.0,3.133,0.39,us,us7000j3xv,2023-03-11T22:51:46.040Z,"55 km ENE of Pilar, Philippines",12.72,7.652,0.153,12.0
2023-01-01T12:18:59.423Z,-23.074,-68.922,106.733,4.8,mwr,47.0,80.0,0.696,0.81,us,us7000j1ew,2023-03-11T22:51:29.040Z,"68 km S of Calama, Chile",4.26,4.252,0.057,30.0
2023-01-01T12:29:07.036Z,63.56,-149.816,109.4,2.5,ml,,,,0.63,ak,ak0231uus49,2023-03-11T22:51:29.040Z,"47 km WNW of Cantwell, Alaska",,0.4,,
2023-01-01T13:02:57.452Z,36.691,76.996,98.403,4.3,mb,46.0,97.0,4.303,0.86,us,us7000j1f2,2023-03-11T22:51:30.040Z,Kashmir-Xinjiang border region,7.99,7.916,0.106,25.0
2023-01-01T13:10:58.520Z,17.927,-66.909,14.0,3.58,md,26.0,225.0,0.0562,0.15,pr,pr2023001002,2023-03-11T22:51:30.040Z,Puerto Rico region,0.73,0.6,0.13,19.0
2023-01-01T13:18:25.830Z,52.247,-168.316,29.11,3.5,ml,18.0,215.0,0.797,0.66,us,us7000j3xw,2023-03-11T22:51:46.040Z,"Fox Islands, Aleutian Islands, Alaska",7.27,15.501,0.091,16.0
2023-01-01T13:27:29.461Z,-21.222,-68.962,90.462,4.1,mb,28.0,55.0,0.522,0.76,us,us7000j1f6,2023-03-11T22:51:30.040Z,"136 km N of Calama, Chile",6.75,7.627,0.166,10.0
2023-01-01T14:41:18.768Z,-12.883,166.301,10.0,4.2,mb,14.0,87.0,7.111,1.13,us,us7000j3y1,2023-03-11T22:51:46.040Z,"174 km NW of Sola, Vanuatu",9.37,1.918,0.263,6.0
2023-01-01T14:41:33.783Z,49.749,150.747,385.112,4.1,mb,55.0,119.0,5.496,0.67,us,us7000j1fc,2023-03-11T22:51:30.040Z,,12.84,8.002,0.059,79.0
2023-01-01T14:43:21.938Z,51.093,-176.218,10.0,3.0,ml,10.0,291.0,0.779,0.32,us,us7000j5d8,2023-03-11T22:51:52.040Z,"91 km SSE of Adak, Alaska",2.93,2.023,0.148,6.0
2023-01-01T14:45:41.283Z,52.288,-168.3,19.223,3.4,ml,19.0,214.0,0.764,0.76,us,us7000j3y0,2023-03-11T22:51:46.040Z,"81 km SSE of Nikolski, Alaska",7.12,7.064,0.091,16.0
2023-01-01T15:10:07.415Z,51.117,-176.312,10.0,3.0,ml,13.0,244.0,0.748,0.54,us,us7000j5d9,2023-03-11T22:51:52.040Z,"87 km SSE of Adak, Alaska",3.87,1.974,0.148,6.0
2023-01-01T15:36:55.139Z,52.207,-168.274,10.0,2.8,ml,13.0,261.0,0.844,0.44,us,us7000j5da,2023-03-11T22:51:52.040Z,"90 km SSE of Nikolski, Alaska",5.34,2.013,0.105,12.0
2023-01-01T16:24:27.560Z,-25.206,178.509,595.724,5.1,mb,73.0,41.0,7.041,0.85,us,us7000j1fq,2023-03-11T22:51:30.040Z,south of the Fiji Islands,11.13,6.692,0.039,213.0
2023-01-01T16:28:26.753Z,31.717,-104.28,7.10847168,2.6,ml,26.0,62.0,0.0442252882,0.2,tx,tx2023abgp,2023-03-11T22:51:30.040Z,western Texas,0.6853669093,0.7808513706,0.2,35.0
2023-01-01T16:40:44.544Z,51.358,-176.494,35.0,2.9,ml,13.0,237.0,0.506,0.51,us,us7000j5cb,2023-03-11T22:51:52.040Z,"58 km S of Adak, Alaska",2.67,2.016,0.148,6.0
2023-01-01T16:47:16.880Z,32.603,-117.97,5.95,2.65,ml,27.0,247.0,0.631,0.32,ci,ci40152719,2023-03-11T22:51:30.040Z,"43km SE of San Clemente Is. (SE tip), CA",0.98,31.61,0.152,91.0
2023-01-01T17:58:51.112Z,-13.86,166.545,10.0,4.6,mb,20.0,157.0,6.995,0.32,us,us7000j3y9,2023-03-11T22:51:46.040Z,"108 km W of Sola, Vanuatu",12.58,1.913,0.173,12.0
